_input,_num,_widgetName,_source,_resultNumber,_pageUrl,name,price
,169,infibeam Result Data,infibeam Result Data,169,http://www.infibeam.com/Mobiles/search?page=9,Micromax Unite 3 Q372 (White),Rs. 6911
,170,infibeam Result Data,infibeam Result Data,170,http://www.infibeam.com/Mobiles/search?page=9,Micromax Canvas Selfie Lens (Moon Dust Grey),Rs. 8376
,171,infibeam Result Data,infibeam Result Data,171,http://www.infibeam.com/Mobiles/search?page=9,Unboxed Samsung Galaxy S6 Edge (32GB) (Black),Rs. 39619
,172,infibeam Result Data,infibeam Result Data,172,http://www.infibeam.com/Mobiles/search?page=9,Samsung Galaxy E7 (White),Rs. 17400
,173,infibeam Result Data,infibeam Result Data,173,http://www.infibeam.com/Mobiles/search?page=9,Sony Xperia T3 (White),Rs. 15426
,174,infibeam Result Data,infibeam Result Data,174,http://www.infibeam.com/Mobiles/search?page=9,Sony Xperia T3 (Black),Rs. 15426
,175,infibeam Result Data,infibeam Result Data,175,http://www.infibeam.com/Mobiles/search?page=9,Panasonic Eluga Switch (Black),Rs. 19499
,176,infibeam Result Data,infibeam Result Data,176,http://www.infibeam.com/Mobiles/search?page=9,Panasonic Eluga Switch (Grey),Rs. 19499
,177,infibeam Result Data,infibeam Result Data,177,http://www.infibeam.com/Mobiles/search?page=9,Unboxed Samsung GALAXY Note 3 Neo (Black),Rs. 15059
,178,infibeam Result Data,infibeam Result Data,178,http://www.infibeam.com/Mobiles/search?page=9,Samsung GALAXY Note 3 Neo Unboxed (White),Rs. 15059
,179,infibeam Result Data,infibeam Result Data,179,http://www.infibeam.com/Mobiles/search?page=9,Intex Aqua 3G Strong (Champagne),Rs. 3666
,180,infibeam Result Data,infibeam Result Data,180,http://www.infibeam.com/Mobiles/search?page=9,Micromax X1850 (Black),Rs. 851
,181,infibeam Result Data,infibeam Result Data,181,http://www.infibeam.com/Mobiles/search?page=10,YU Yuphoria Unboxed (Black Silver),Rs. 6385
,182,infibeam Result Data,infibeam Result Data,182,http://www.infibeam.com/Mobiles/search?page=10,Lenovo P70 (Grey),Rs. 15898
,183,infibeam Result Data,infibeam Result Data,183,http://www.infibeam.com/Mobiles/search?page=10,Xolo Q600 Club (White),Rs. 5049
,184,infibeam Result Data,infibeam Result Data,184,http://www.infibeam.com/Mobiles/search?page=10,Samsung Galaxy E5 (White),Rs. 14900
,185,infibeam Result Data,infibeam Result Data,185,http://www.infibeam.com/Mobiles/search?page=10,Samsung Galaxy E5 (Black),Rs. 14499
